frame_index,pts_ms,timecode,keypoint,x,y
22,700,00:00:00.700,ankle,1030.4890823364258,775.2876234054565
23,733,00:00:00.733,ear,249.23223495483398,225.67880809307098
23,733,00:00:00.733,shoulder,198.86611461639404,359.8292934894562
23,733,00:00:00.733,elbow,184.69043254852295,545.9448480606079
23,733,00:00:00.733,wrist,317.7692127227783,403.40773344039917
23,733,00:00:00.733,hand,357.4185562133789,381.7882168292999
23,733,00:00:00.733,hip,468.23424339294434,651.808590888977
23,733,00:00:00.733,knee,762.4555206298828,683.3292889595032
23,733,00:00:00.733,ankle,1030.5999755859375,772.6328802108765
24,767,00:00:00.767,ear,248.01504135131836,225.66734969615936
24,767,00:00:00.767,shoulder,200.58352947235107,360.35609006881714
24,767,00:00:00.767,elbow,186.82876110076904,544.7807908058167
24,767,00:00:00.767,wrist,320.72327613830566,404.4336140155792
24,767,00:00:00.767,hand,360.0856590270996,383.9074409008026
24,767,00:00:00.767,hip,467.6210689544678,651.6519069671631
24,767,00:00:00.767,knee,761.4364814758301,684.5456171035767
24,767,00:00:00.767,ankle,1030.4573822021484,770.7596898078918
25,800,00:00:00.800,ear,248.35121154785156,226.03667378425598
25,800,00:00:00.800,shoulder,200.9867763519287,360.9144616127014
25,800,00:00:00.800,elbow,187.6118803024292,544.6640181541443
25,800,00:00:00.800,wrist,321.48837089538574,405.2302300930023
25,800,00:00:00.800,hand,360.6152057647705,385.00110626220703
25,800,00:00:00.800,hip,467.60616302490234,651.5529012680054
25,800,00:00:00.800,knee,761.4426040649414,685.517327785492
25,800,00:00:00.800,ankle,1030.3475189208984,770.2143859863281
26,833,00:00:00.833,ear,250.7332992553711,225.2264267206192
26,833,00:00:00.833,shoulder,202.005615234375,360.65632581710815
26,833,00:00:00.833,elbow,185.75476169586182,544.3936514854431
26,833,00:00:00.833,wrist,325.2827739715576,406.08967423439026
26,833,00:00:00.833,hand,365.06383895874023,386.4350473880768
26,833,00:00:00.833,hip,468.1010627746582,651.1870694160461
26,833,00:00:00.833,knee,761.8058395385742,685.5864000320435
26,833,00:00:00.833,ankle,1030.3361892700195,770.3782153129578
27,867,00:00:00.867,ear,251.82180404663086,224.65456902980804
27,867,00:00:00.867,shoulder,202.12859630584717,360.4050135612488
27,867,00:00:00.867,elbow,186.09832763671875,544.0583968162537
27,867,00:00:00.867,wrist,326.25051498413086,406.67447090148926
27,867,00:00:00.867,hand,365.9293842315674,387.2458577156067
27,867,00:00:00.867,hip,468.4156322479248,651.1156797409058
27,867,00:00:00.867,knee,762.2954750061035,685.5462956428528
27,867,00:00:00.867,ankle,1030.323600769043,770.4691743850708
28,900,00:00:00.900,ear,255.8518123626709,224.37951922416687
28,900,00:00:00.900,shoulder,205.0425624847412,358.2219958305359
28,900,00:00:00.900,elbow,187.01361179351807,542.6593136787415
28,900,00:00:00.900,wrist,333.41403007507324,406.99108958244324
28,900,00:00:00.900,hand,374.36436653137207,388.81826519966125
28,900,00:00:00.900,hip,468.89848709106445,649.5870780944824
28,900,00:00:00.900,knee,761.8429756164551,686.1819791793823
28,900,00:00:00.900,ankle,1030.0334930419922,770.4712986946106
29,933,00:00:00.933,ear,260.7670783996582,224.1770499944687
29,933,00:00:00.933,shoulder,206.9052028656006,349.68458890914917
29,933,00:00:00.933,elbow,189.26472187042236,530.7074010372162
29,933,00:00:00.933,wrist,340.535831451416,412.61449098587036
29,933,00:00:00.933,hand,383.983097076416,401.13784432411194
29,933,00:00:00.933,hip,468.9484119415283,647.4897408485413
29,933,00:00:00.933,knee,761.7984580993652,686.4526033401489
29,933,00:00:00.933,ankle,1030.1020431518555,770.5132055282593
30,967,00:00:00.967,ear,271.1319351196289,224.11259651184082
30,967,00:00:00.967,shoulder,216.68410778045654,348.5961377620697
30,967,00:00:00.967,elbow,192.27180004119873,523.2086205482483
30,967,00:00:00.967,wrist,350.769567489624,431.96427941322327
30,967,00:00:00.967,hand,400.678768157959,423.62948656082153
30,967,00:00:00.967,hip,469.20498847961426,646.5192532539368
30,967,00:00:00.967,knee,760.1808929443359,686.5709209442139
30,967,00:00:00.967,ankle,1030.092658996582,770.4667925834656
31,1000,00:00:01.000,ear,274.8830509185791,223.8203912973404
31,1000,00:00:01.000,shoulder,221.18928909301758,348.3773338794708
31,1000,00:00:01.000,elbow,194.2939853668213,519.9666666984558
31,1000,00:00:01.000,wrist,357.9242992401123,437.31638073921204
31,1000,00:00:01.000,hand,408.8056468963623,429.26350951194763
31,1000,00:00:01.000,hip,469.5893669128418,645.659294128418
31,1000,00:00:01.000,knee,760.5386924743652,686.4844679832458
31,1000,00:00:01.000,ankle,1030.3432846069336,770.5456495285034
32,1033,00:00:01.033,ear,284.07740592956543,221.71458899974823
32,1033,00:00:01.033,shoulder,237.19316482543945,342.48260021209717
32,1033,00:00:01.033,elbow,196.46361351013184,505.31591534614563
32,1033,00:00:01.033,wrist,374.3200492858887,451.96162819862366
32,1033,00:00:01.033,hand,428.0668544769287,451.23878359794617
32,1033,00:00:01.033,hip,469.7152805328369,643.3897590637207
32,1033,00:00:01.033,knee,760.5324554443359,686.3810205459595
32,1033,00:00:01.033,ankle,1031.5656280517578,770.8899164199829
33,1067,00:00:01.067,ear,299.3715763092041,218.84707689285278
33,1067,00:00:01.067,shoulder,252.73959159851074,338.5624122619629
33,1067,00:00:01.067,elbow,210.49524307250977,504.76736068725586
33,1067,00:00:01.067,wrist,398.2067584991455,474.4028663635254
33,1067,00:00:01.067,hand,450.7917594909668,475.4733896255493
33,1067,00:00:01.067,hip,469.8552131652832,641.897656917572
33,1067,00:00:01.067,knee,760.6071281433105,686.3039660453796
33,1067,00:00:01.067,ankle,1032.9780578613281,773.4602665901184
34,1100,00:00:01.100,ear,319.9505138397217,215.62828123569489
34,1100,00:00:01.100,shoulder,268.92826080322266,333.95034313201904
34,1100,00:00:01.100,elbow,247.37751960754395,505.11523246765137
34,1100,00:00:01.100,wrist,431.04735374450684,490.2838182449341
34,1100,00:00:01.100,hand,482.42774963378906,493.5201394557953
34,1100,00:00:01.100,hip,471.5691661834717,639.575207233429
34,1100,00:00:01.100,knee,761.077995300293,688.9333462715149
34,1100,00:00:01.100,ankle,1033.2920837402344,774.777660369873
35,1133,00:00:01.133,ear,341.7319107055664,212.5169563293457
35,1133,00:00:01.133,shoulder,287.5016212463379,331.1321246623993
35,1133,00:00:01.133,elbow,271.53393745422363,506.44511461257935
35,1133,00:00:01.133,wrist,455.1876926422119,503.8610529899597
35,1133,00:00:01.133,hand,506.65197372436523,508.5536527633667
35,1133,00:00:01.133,hip,474.8689842224121,639.1400456428528
35,1133,00:00:01.133,knee,762.8249359130859,689.7241044044495
35,1133,00:00:01.133,ankle,1034.322624206543,777.9506707191467
36,1167,00:00:01.167,ear,361.2974739074707,207.2882741689682
36,1167,00:00:01.167,shoulder,303.9268112182617,330.5343568325043
36,1167,00:00:01.167,elbow,300.45679092407227,506.67746901512146
36,1167,00:00:01.167,wrist,482.30175018310547,522.0108640193939
36,1167,00:00:01.167,hand,535.8587837219238,524.414005279541
36,1167,00:00:01.167,hip,474.8288154602051,639.1931533813477
36,1167,00:00:01.167,knee,765.8270072937012,690.4571843147278
36,1167,00:00:01.167,ankle,1035.2809524536133,777.6276469230652
37,1200,00:00:01.200,ear,363.24377059936523,203.16133618354797
37,1200,00:00:01.200,shoulder,306.8221664428711,331.337571144104
37,1200,00:00:01.200,elbow,304.21534538269043,510.1974821090698
37,1200,00:00:01.200,wrist,486.04557037353516,523.5548830032349
37,1200,00:00:01.200,hand,539.0933990478516,526.3568150997162
37,1200,00:00:01.200,hip,474.772253036499,639.2593932151794
37,1200,00:00:01.200,knee,765.3483009338379,692.7601933479309
37,1200,00:00:01.200,ankle,1033.8448333740234,777.5498199462891
38,1233,00:00:01.233,ear,377.1064853668213,199.02641594409943
38,1233,00:00:01.233,shoulder,317.6704788208008,331.4388942718506
38,1233,00:00:01.233,elbow,330.78463554382324,514.1387844085693
38,1233,00:00:01.233,wrist,512.6176071166992,539.1035735607147
38,1233,00:00:01.233,hand,561.4362144470215,539.4592344760895
38,1233,00:00:01.233,hip,474.6876525878906,639.8462820053101
38,1233,00:00:01.233,knee,764.7831916809082,694.2380046844482
38,1233,00:00:01.233,ankle,1034.8996353149414,776.1799621582031
39,1267,00:00:01.267,ear,401.1046314239502,194.07180190086365
39,1267,00:00:01.267,shoulder,335.9960460662842,331.101450920105
39,1267,00:00:01.267,elbow,357.51391410827637,517.665524482727
39,1267,00:00:01.267,wrist,536.096134185791,548.8292098045349
39,1267,00:00:01.267,hand,586.1305618286133,553.7261295318604
39,1267,00:00:01.267,hip,473.52733612060547,642.9840159416199
39,1267,00:00:01.267,knee,760.3112983703613,696.6169095039368
39,1267,00:00:01.267,ankle,1033.447265625,776.2115693092346
40,1300,00:00:01.300,ear,422.28930473327637,190.82666158676147
40,1300,00:00:01.300,shoulder,356.5701198577881,328.58948707580566
40,1300,00:00:01.300,elbow,390.9568119049072,517.6813924312592
40,1300,00:00:01.300,wrist,564.7730827331543,559.8419523239136
40,1300,00:00:01.300,hand,611.114330291748,566.3283061981201
